"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P38.2BS"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P38.2BS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P380.1AL"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P380.1AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P380.1AS"	68	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P380.1AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P380.1BL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P380.1BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P380.1BS"	200	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P380.1BS_pure"	75	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P380.2AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P380.2AS"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P380.2AS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P380.2BS"	158	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P380.2BS_pure"	68	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.1AL"	315	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.1AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.1AS"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.1AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.1BL"	47	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.1BL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.1BS"	48	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.1BS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.2AL"	210	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.2AL_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.2AS"	97	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.2AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.2BL"	90	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.2BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P381.2BS"	1302	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P381.2BS_pure"	122	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P382.1AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P382.1AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P382.1BS_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P382.2AS"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P382.2AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P382.2BS"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P382.2BS_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.1AL"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.1AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.1AS"	484	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.1AS_pure"	82	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.1BL"	263	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.1BL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.1BS"	717	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.1BS_pure"	103	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.2AL"	24	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.2AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.2AS"	57	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.2AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.2BL"	17	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.2BL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P385.2BS"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P385.2BS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P386.1AL"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P386.1AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P386.1AS"	28	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P386.1AS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P386.1BL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P386.1BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P386.1BS"	179	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P386.1BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P386.2AS"	55	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P386.2AS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P386.2BS"	29	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P386.2BS_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P388.1AS"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P388.1AS_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P388.1BL"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P388.1BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P388.1BS"	146	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P388.1BS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P388.2AS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P388.2BL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P388.2BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P388.2BS"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P388.2BS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P389.1AL"	35	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P389.1AL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P389.1AS"	127	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P389.1AS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P389.1BL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P389.1BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P389.1BS"	110	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P389.1BS_pure"	59	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P389.2AS"	57	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P389.2AS_pure"	48	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P389.2BL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P389.2BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P389.2BS"	78	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P389.2BS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.1AL"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.1AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.1AS"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.1AS_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.1BL"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.1BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.1BS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.1BS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.2AL"	148	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.2AL_pure"	60	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.2AS"	65	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.2AS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.2BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.2BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P39.2BS"	92	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P39.2BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P390.1AS"	182	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P390.1AS_pure"	60	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P390.1BS"	151	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P390.1BS_pure"	63	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P390.2AS"	121	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P390.2AS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P390.2BL"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P390.2BL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P390.2BS"	269	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P390.2BS_pure"	82	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P392.1AS"	194	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P392.1AS_pure"	61	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P392.1BS"	130	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P392.1BS_pure"	66	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P392.2AS"	53	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P392.2AS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P392.2BS"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P392.2BS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.1AL"	183	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.1AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.1AS"	128	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.1AS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.1BL"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.1BL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.1BS"	427	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.1BS_pure"	82	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.2AL"	74	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.2AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.2AS"	117	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.2AS_pure"	58	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.2BL"	81	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.2BL_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P393.2BS"	284	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P393.2BS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.1AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.1AS"	39	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.1AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.1BL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.1BS"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.1BS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.2AL"	33	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.2AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.2AS"	68	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.2AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.2BL"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.2BL_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P394.2BS"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P394.2BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P395.1AL"	258	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P395.1AL_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P395.1AS"	1584	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P395.1AS_pure"	71	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P395.1BL"	84	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P395.1BL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P395.1BS"	484	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P395.1BS_pure"	130	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P397.1AL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P397.1AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P397.1AS"	70	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P397.1AS_pure"	40	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P397.1BL"	74	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P397.1BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P397.1BS"	135	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P397.1BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.1AL"	127	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.1AL_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.1AS"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.1AS_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.1BL"	136	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.1BL_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.1BS"	97	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.1BS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.2AL"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.2AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.2AS"	107	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.2AS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.2BL"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.2BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P4.2BS"	142	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P4.2BS_pure"	65	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P40.1AL"	64	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P40.1AL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P40.1AS"	55	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P40.1AS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P40.1BL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P40.1BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P40.1BS"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P40.1BS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P40.2AL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P40.2AS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P40.2AS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P40.2BS"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P40.2BS_pure"	48	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P41.1AS"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P41.1AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P41.1BS"	59	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P41.1BS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P41.2AL"	147	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P41.2AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P41.2AS"	257	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P41.2AS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P42.1AL"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.1AL_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P42.1AS"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.1AS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P42.1BL"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.1BL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P42.1BS"	62	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.1BS_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P42.2AL"	26	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.2AS"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.2AS_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P42.2BL"	119	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.2BL_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P42.2BS"	66	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P42.2BS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P43.1AS"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P43.1AS_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P43.1BS"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P43.1BS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P43.2AL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P43.2AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P43.2AS"	43	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P43.2AS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P43.2BS"	49	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P43.2BS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.1AL"	193	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.1AL_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.1AS"	125	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.1AS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.1BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.1BL_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.1BS"	121	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.1BS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.2AL"	62	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.2AL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.2AS"	757	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.2AS_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.2BL"	106	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.2BL_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P44.2BS"	4250	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P44.2BS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P46.1AS"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P46.1AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P46.1BL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P46.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P46.1BS"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P46.1BS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P46.2AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P46.2AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P46.2AS"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P46.2AS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P46.2BL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P46.2BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P46.2BS"	124	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P46.2BS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P47.1AL"	222	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.1AL_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P47.1AS"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.1AS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P47.1BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.1BS"	710	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.1BS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P47.2AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.2AS"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.2BL"	17	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.2BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P47.2BS"	1959	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P47.2BS_pure"	119	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P48.1AS"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P48.1AS_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P48.1BS"	76	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P48.1BS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P48.2AL"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P48.2AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P48.2AS"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P48.2AS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P48.2BL"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P48.2BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P48.2BS"	79	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P48.2BS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P49.1AL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P49.1AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P49.1AS"	57	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P49.1AS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P49.1BS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P49.1BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P49.2AL"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P49.2AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P49.2AS"	76	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P49.2AS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P49.2BL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P49.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P49.2BS"	101	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P49.2BS_pure"	50	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P50.1AL"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P50.1AL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P50.1AS"	62	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P50.1AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P50.1BL"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P50.1BL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P50.1BS"	919	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P50.1BS_pure"	52	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P50.2AL"	1	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
