"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P103.2BS_pure"	60	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.1AL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.1AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.1AS"	131	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.1AS_pure"	48	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.1BL"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.1BS"	443	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.1BS_pure"	59	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.2AL"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.2AL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.2AS"	100	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.2AS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.2BL"	19	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.2BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P104.2BS"	108	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P104.2BS_pure"	50	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.1AL"	70	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.1AL_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.1AS"	212	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.1AS_pure"	58	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.1BL"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.1BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.1BS"	182	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.1BS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.2AL"	48	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.2AL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.2AS"	96	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.2AS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.2BL"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.2BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P105.2BS"	519	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P105.2BS_pure"	141	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P106.1AS"	62.67	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P106.1AS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P106.1BS"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P106.1BS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P106.2AL"	8.45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P106.2AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P106.2AS"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P106.2AS_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P106.2BL"	32.08	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P106.2BL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P106.2BS"	32.09	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P106.2BS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P107.1AS"	54	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P107.1AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P107.1BL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P107.1BS"	92	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P107.2AS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P107.2BS"	29	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P108.1AS"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P108.1AS_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P108.1BL"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P108.1BS"	71	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P108.2AS"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P108.2AS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P108.2BS"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P108.2BS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P11.1AL"	22.13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P11.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P11.1AS"	46.72	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P11.1AS_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P11.1BL"	67	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P11.1BL_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P11.1BS"	144	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P11.1BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P11.2AL"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P11.2AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P11.2AS"	97	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P11.2AS_pure"	48	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P11.2BS"	61	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P11.2BS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P110.1AS"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P110.1AS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P110.1BS"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P110.1BS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P110.2AL"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P110.2AL_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P110.2AS"	70	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P110.2AS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P110.2BL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P110.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P110.2BS"	80	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P110.2BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P112.1AL"	69	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P112.1AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P112.1AS"	133	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P112.1AS_pure"	58	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P112.1BS_pure"	49	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P112.1BS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P112.2AL"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P112.2AL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P112.2AS"	197	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P112.2AS_pure"	52	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P112.2BL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P112.2BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
