"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","collectorNumber","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","discipline","disposition","eventID","evidenceForOccurrenceID","externalClassificationSource","feedbackURL","geoClassificationCode","geoName","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","scientificName","scientificNameAuthorship","scientificNameID","taxonID","taxonRank","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel","vernacularName"
"","RMNH.AVES.93191","","","","","","","","","","","https://doi.org/TEST/ZZK-1MZ-QA8","Zoology","","5d2c2f5dfe222539e88f9b775d2c4f1d","","","https://doi.org/TEST/ZZK-1MZ-QA8","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.93191","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.16147.b","","","","","","","","","","","https://doi.org/TEST/ZZK-17A-91R","Zoology","","60690bf3c6e307d916a21e3db8c4ec92","","","https://doi.org/TEST/ZZK-17A-91R","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.16147.b","","","","","","","","","nest (air dried)","","","","","","","","","","",""
"","ZMA.AVES.38771","","","","","","","","","","","https://doi.org/TEST/ZZJ-Z7P-KRS","Zoology","","e396d5d57a8eab68d2d2be5ede061230","","","https://doi.org/TEST/ZZJ-Z7P-KRS","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.38771","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.161861","","","","","","","","","","","https://doi.org/TEST/ZZJ-PWA-KXP","Zoology","","9786c9537a1e9259e73a969dd475bc55","","","https://doi.org/TEST/ZZJ-PWA-KXP","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.161861","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.107361","","","","","","","","","","","https://doi.org/TEST/ZZJ-NYH-317","Zoology","","d52d67154bf85f4ee23394034ccb78b5","","","https://doi.org/TEST/ZZJ-NYH-317","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.107361","","","","","","","","","skin","","","","","","","","","","",""
"","RMNH.AVES.205463","","","","","","","","","","","https://doi.org/TEST/ZZJ-NPT-22A","Zoology","","10e650dcba8c70e2222020351ed89a12","","","https://doi.org/TEST/ZZJ-NPT-22A","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.205463","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.92316","","","","","","","","","","","https://doi.org/TEST/ZZJ-LXF-69M","Zoology","","081ad02d5b8977d8a54eeccbb92ec866","","","https://doi.org/TEST/ZZJ-LXF-69M","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.92316","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.156767","","","","","","","","","","","https://doi.org/TEST/ZZJ-AMV-KKA","Zoology","","dc75da07c0ac72eb401dda7e15ebba55","","","https://doi.org/TEST/ZZJ-AMV-KKA","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156767","","","","","","","","","skeleton (whole) (skeletonized)","","","","","","","","","","",""
"","ZMA.AVES.12416","","","","","","","","","","","https://doi.org/TEST/ZZJ-7JV-0SQ","Zoology","","2783d19a8cc7ed0200a70df7acaaec3d","","","https://doi.org/TEST/ZZJ-7JV-0SQ","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.12416","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.54388","","","","","","","","","","","https://doi.org/TEST/ZZJ-6TC-XJ0","Zoology","","d3851bc35d10dc3768f948186c68fcd4","","","https://doi.org/TEST/ZZJ-6TC-XJ0","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.54388","","","","","","","","","skin (air dried)","","","","","","","","","","",""
