"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","siteNumber","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","Bolivia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","defd3ed020ebf22180e9b27fa2071562","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1916-01-11","","1b2b336972bd01bd465a201483efbe9b","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Westernieland","","","","","","","","","","","","","","","","","Groningen","","","","","11-01-1916","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1940-03-06","","d847aea62da37d5f3bc3921b52ae8b7a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Scheveningen","","","","","","","","","","","","","","","","","South Holland","","","","","6-3-1940","","","","","","",""
"","","","Cuba","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1933-04-28","","360ea9dd67883dba8a1178de7b108f54","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Camaguey","","","","","","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1863-09-02","","0a71e4d52a8ac01ceffe9c4b0b3b1399","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Ambon I.","","","","","","","","","","","","","","","","","","","Molucca Islands","","","","","2/9/1863","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1912-08-23","","dcfea43936ab4d46c151c6466f448532","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Loosduinen","","","","","","","","","","","","","","","","","South Holland","","","","","22 of 23-8-1912","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1901-05-20","","eb88d8704c950c32a553ce0a34eeb677","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Java","","","","","","","","","","","","","","","","","","","Preanger, Pangerango","","","","","20-05-1901","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1887-01-07","","f1131e9c202b8fc02d70270d110434b2","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Oostzaan","","","","","","","","","","","","","","","","","North Holland","","","","","7-1-1887","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1939-09-01","","cf1ad194c3983683915566ebd8fef6b1","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Assen?","","","","","","","","","","","","","","","","","","","","","","01-09-1939","","","","","","",""
"","","","Scotland","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1917-05-23","","00ebe126f6b443c0843defaac6686805","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Glenwhen Moor [?]","","","","","","","","","","","","","","","","","","","","","","23/5/1917","","","","","","",""
