"clazz","cultivarEpithet","dateIdentified","externalClassificationSource","family","feedbackURL","genericName","genus","geoClassificationCode","geoName","identificationID","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","infragenericEpithet","infraspecificEpithet","isAcceptedIdentification","kingdom","materialEntityID","mediaID","nameAccordingTo","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","nucleotideAnalysisID","nucleotideSequenceID","occurrenceID","order","organismID","phylum","scientificName","scientificNameAuthorship","scientificNameID","specificEpithet","subfamily","subgenus","taxonAssignmentMethod","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","verbatimIdentification","vernacularName"
"","","","","","","","","","","7f8b962518505c6875a58efb0f32fc88","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.28242","","","","","","","","","","","","","","","","","","","","","","","","","","Streptopelia chinensis tigrina (Temminck, 1810)",""
"","","","","","","","","","","020de4d0b80d30a7591157c55381b4ab","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.24254","","","","","","","","","","","","","","","","","","","","","","","","","","Lonchura leucogastroides Horsfield & F. Moore, 1856",""
"","","","","","","","","","","a3b45febf3ceda3419c52e3572e95dc2","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.64480","","","","","","","","","","","","","","","","","","","","","","","","","","Platalea leucorodia leucorodia Linnaeus, 1758",""
"","","","","","","","","","","cb20bd82feedeedbb64639b1384e3ac2","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.23934","","","","","","","","","","","","","","","","","","","","","","","","","","Lanius schach bentet",""
"","","","","","","","","","","f60cd89fd9ce06210d14e8a7b271bc5c","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.4560","","","","","","","","","","","","","","","","","","","","","","","","","","Aplonis mysolensis forsteni Mayr, 1934",""
"","","","","","","","","","","41a2b83da6d374dfc2045c1190a3fa96","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.100878","","","","","","","","","","","","","","","","","","","","","","","","","","Garrulus glandarius glandarius Linnaeus, 1758",""
"","","","","","","","","","","a61e2a98715be2164d5601bbd90b1467","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89301","","","","","","","","","","","","","","","","","","","","","","","","","","Eupetes macrocerus macrocerus Temminck, 1831",""
"","","","","","","","","","","2e7dfdf741c89133d6a906c9b871954e","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.35006","","","","","","","","","","","","","","","","","","","","","","","","","","Pyrrhula pyrrhula europoea Vieillot, 1816",""
"","","","","","","","","","","1fbcbdcf7eb47bdd66353b06b7c82667","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.18560","","","","","","","","","","","","","","","","","","","","","","","","","","Sericornis perspicillatus Salvadori, 1896",""
"","","","","","","","","","","40eaea2da337c28f2fe45bfcd7b91d31","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.233147","","","","","","","","","","","","","","","","","","","","","","","","","","Vanellus vanellus (Linnaeus, 1758)",""
